"시도교육청","시도교육청코드","교육지원청","교육지원청코드","지역","지역코드","소재지구분코드","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교수학습공간 일반교실","교수학습공간 교과교실","교수학습공간 특별교실","교수학습공간 수준별교실","교수학습공간 기타","학습지원공간 시청각실","학습지원공간 컴퓨터실","학습지원공간 멀티미디어실","학습지원공간 가타","교원지원공간","관리행정공간","체육집회공간","보건실","학생탈의실","학생샤워실","남자화장실","여자화장실","공용화장실","학생식당","기숙사실수","기타공간","학교과정구분값(2-3-4)","학교과정구분명(초-중-고)","공시연도"
"서울특별시교육청","A000000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S000003511","서울교육대학교부설초등학교","02","국립","N","","28","1","12","","3","1","1","1","2","7","12","2","","","","9","9","","1","","1","","","2024"
"서울특별시교육청","A000000001","서울특별시중부교육지원청","B100000359","서울특별시 종로구","1111016800","01","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","33","1","2","","1","1","","","","6","10","2","1","","","11","10","","1","","3","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000737","서울개원초등학교","02","공립","N","","47","1","4","","","1","","","2","8","13","1","1","2","","12","12","","1","","1","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000738","서울개일초등학교","02","공립","N","","33","2","3","","","","","","2","4","12","2","1","2","","9","9","","1","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000739","서울개포초등학교","02","공립","N","","44","10","9","","1","1","","3","","16","19","1","1","","","18","20","","1","","6","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000741","서울구룡초등학교","02","공립","N","","39","1","3","","1","","","5","2","1","12","1","1","2","","9","9","1","1","","1","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010800","01","S010000742","서울논현초등학교","02","공립","N","","23","1","13","","4","1","","1","","2","14","2","1","","","6","6","","1","","8","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000743","서울대곡초등학교","02","공립","N","","46","1","4","","","2","1","1","","2","12","1","1","","","8","8","1","1","","2","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011800","01","S010000744","서울대도초등학교","02","공립","N","","62","","4","","","","2","1","","3","9","1","1","","","15","15","","","","1","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000745","서울대모초등학교","02","공립","N","","33","","3","","","","1","3","","2","10","1","1","2","","8","9","","","","4","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011100","01","S010000746","서울대왕초등학교","02","공립","N","","38","","2","","","1","","6","","11","12","1","1","","","11","11","","1","","4","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010300","01","S010000747","서울대진초등학교","02","공립","N","","17","1","7","","1","","","1","","2","15","1","1","","","5","5","","","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011400","01","S010000748","서울대청초등학교","02","공립","N","","11","4","2","","","","","3","","2","11","2","1","","","5","5","","","","4","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000749","서울대치초등학교","02","공립","N","","45","","3","","5","","1","","","1","7","1","1","","","9","9","","","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000750","서울대현초등학교","02","공립","N","","38","","4","","5","","","1","","3","10","1","1","","","8","8","","1","","3","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010600","01","S010000751","서울도곡초등학교","02","공립","N","","36","2","4","2","8","1","","6","","7","12","2","1","","","11","11","","8","","3","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010100","01","S010000752","서울도성초등학교","02","공립","N","","58","","2","","2","","","","","3","11","1","1","","","13","13","1","1","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000753","서울반원초등학교","02","공립","N","","53","","3","","","","","2","","5","10","1","1","","","13","13","1","","","1","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000755","서울방배초등학교","02","공립","N","","41","5","5","","","","","1","","4","10","1","1","","","9","9","2","","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000756","서울방일초등학교","02","공립","N","","38","","2","","","","","4","2","6","14","1","1","2","","9","9","","1","","1","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000757","서울방현초등학교","02","공립","N","","12","1","6","","1","","","1","","3","7","1","1","","","5","5","","","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010500","01","S010000758","서울봉은초등학교","02","공립","N","","22","7","6","1","2","1","","","2","6","15","2","1","2","","9","9","1","1","","4","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010500","01","S010000759","서울삼릉초등학교","02","공립","N","","23","5","1","","","","","2","","4","11","1","1","","","5","5","","1","","25","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010100","01","S010000760","서울서래초등학교","02","공립","N","","47","1","1","","7","","","","","2","12","1","1","","","11","12","","","","2","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010700","01","S010000761","서울서원초등학교","02","공립","N","","53","1","5","","","1","","","","2","10","1","1","","","11","11","","","","4","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000762","서울서이초등학교","02","공립","N","","48","1","3","","1","","","2","","6","13","1","1","","","11","11","","1","","3","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000763","서울서일초등학교","02","공립","N","","23","","4","1","1","","","","","2","12","1","1","2","","5","5","","2","","5","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000764","서울서초초등학교","02","공립","N","","36","2","2","1","","","","5","1","4","9","1","1","1","","11","11","","","","5","","","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011500","01","S010000765","서울수서초등학교","02","공립","N","","13","4","8","1","4","","","2","","3","10","2","1","","","8","8","","1","","1","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168010700","01","S010000766","서울신구초등학교","02","공립","N","","24","6","3","","","7","","4","","6","8","2","1","","","2","2","1","6","","206","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010600","01","S010000767","서울신동초등학교","02","공립","N","","49","","2","","","","1","2","","3","8","1","1","","","13","13","","1","","","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010800","01","S010000768","서울신중초등학교","02","공립","N","","37","2","2","","","","","3","","5","14","1","1","","","9","9","","1","","3","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 강남구","1168011000","01","S010000769","서울압구정초등학교","02","공립","N","","37","","4","","","","","3","","1","15","2","1","","","8","8","","1","","3","2","초","2024"
"서울특별시교육청","B100000001","서울특별시강남서초교육지원청","B100000249","서울특별시 서초구","1165010200","01","S010000770","서울양재초등학교","02","공립","N","","25","","9","","","","","","","8","6","1","1","","","7","7","","1","","1","2","초","2024"
